,extracted_comments,comments_date,translated_comments
0,Trovo: ,2022-06-12 18:54:50,Trovo: 
1,Tokyo is one of the best team-deleting players I've ever seen,2022-06-12 18:54:50,Tokyo is one of the best team-deleting players I've ever seen
2,Not only that you are the most underrated but also amongst the best player of CODM BR Community,2022-06-12 18:54:50,Not only that you are the most underrated but also amongst the best player of CODM BR Community
3,1:24,2022-07-12 18:54:50,1:24
4,"I watched many streamers but I think you’re number 1 in the world. Nowadays 40 kills is top , players have become better and they go around together always , 1vs squads ain’t easy anymore",2022-06-12 18:54:50,"I watched many streamers but I think you’re number 1 in the world. Nowadays 40 kills is top , players have become better and they go around together always , 1vs squads ain’t easy anymore"
5,Daddy Tokyo never disappoints with these banger clips,2022-06-12 18:54:50,Daddy Tokyo never disappoints with these banger clips
6,This man gameplay is so freaking funny plus OP what more could one want GG new sub here,2022-06-12 18:54:50,This man gameplay is so freaking funny plus OP what more could one want GG new sub here
7,Ve ayrıca ALLAH her elini attın işte istediğin sonucu almayı istediğin mevkiye gelmeyi nasipetsin inşallah gerçek ten seni izlerken kafam rahatlıyo inşallah seni daha iyi yerlerde görücemiz  zamanlarda bir an önce gelir iyi oyunlar herdaim başarılar kardeşim,2022-06-12 18:54:50,Ve ayrıca ALLAH her elini attın işte istediğin sonucu almayı istediğin mevkiye gelmeyi nasipetsin inşallah gerçek ten seni izlerken kafam rahatlıyo inşallah seni daha iyi yerlerde görücemiz  zamanlarda bir an önce gelir iyi oyunlar herdaim başarılar kardeşim
8,Çoğunlukla 27-33 bandında kill alıyordun şu an 40 bile alıyorsun. Helal olsun Tokyooooo,2022-06-12 18:54:50,Çoğunlukla 27-33 bandında kill alıyordun şu an 40 bile alıyorsun. Helal olsun Tokyooooo
9,Tokyo edits are getting crazy `Uwu’ ,2022-06-12 18:54:50,Tokyo edits are getting crazy `Uwu’ 
10,my 5th time rewatching this particular clip and i just discovered your channel ,2022-08-11 18:54:50,my 5th time rewatching this particular clip and i just discovered your channel 
11,Insane gameplay,2022-06-12 18:54:50,Insane gameplay
12,unas de la mejores partidas de call of duty que vi o hasta el momento el unico el que mas me impresiono me suscribo y dejo mi me gusta buen video,2022-07-12 18:54:50,unas de la mejores partidas de call of duty que vi o hasta el momento el unico el que mas me impresiono me suscribo y dejo mi me gusta buen video
13,Killing Machine ,2022-07-12 18:54:50,Killing Machine 
14,Awesome video Tokyo I hope I can play with you one day ,2022-06-12 18:54:50,Awesome video Tokyo I hope I can play with you one day 
15,Insane gameplay..,2022-06-12 18:54:50,Insane gameplay..
16,"You are a very good player , but you know your enemies were a little newbie but your movements and shuts were amazing",2022-07-12 18:54:50,"You are a very good player , but you know your enemies were a little newbie but your movements and shuts were amazing"
17,Yapıyorsun bu işi be kardeşim yaparım dedinve yine yaptın ellerine sağlık video için teşekkürler,2022-06-12 18:54:50,Yapıyorsun bu işi be kardeşim yaparım dedinve yine yaptın ellerine sağlık video için teşekkürler
18,"You're Narco's best player , he said your gameplay was sick I agree You're sick bro",2022-07-12 18:54:50,"You're Narco's best player , he said your gameplay was sick I agree You're sick bro"
19,damm,2022-06-12 18:54:50,damm
20,Helalin var kardeşim bu oyun senin için çıkmış resmen kanka eline sağlık ,2022-06-12 18:54:50,Helalin var kardeşim bu oyun senin için çıkmış resmen kanka eline sağlık 
21,Emudakinden daha kaliteli oyun karşımızda işte azim vazgeçmemek bu. Tbrk ederim berk,2022-07-12 18:54:50,Emudakinden daha kaliteli oyun karşımızda işte azim vazgeçmemek bu. Tbrk ederim berk
22,Ese final ,2022-06-12 18:54:50,Ese final 
23,Glad I found your channel I learn from everyone's clips ggs again,2022-06-12 18:54:50,Glad I found your channel I learn from everyone's clips ggs again
24,"Besides Tokyo’s gameplay, has someone noticed his amazing tste in music? Like NF omg.",2022-09-10 18:54:50,"Besides Tokyo’s gameplay, has someone noticed his amazing tste in music? Like NF omg."
25,fire as always akam ,2022-06-12 18:54:50,fire as always akam 
26,High respect ,2022-06-12 18:54:50,High respect 
27,I heard this guy had some good gameplay but that’s some mad skill with that HSO (New Sub),2022-09-10 18:54:50,I heard this guy had some good gameplay but that’s some mad skill with that HSO (New Sub)
28,Bro you are so under rated,2022-06-12 18:54:50,Bro you are so under rated
29,Gran vídeo. ,2022-09-10 18:54:50,Gran vídeo. 
30,my dude is a killing machine.,2022-06-12 18:54:50,my dude is a killing machine.
31,Great as always ,2022-06-12 18:54:50,Great as always 
32,This guy is total vibe when he was trying to kill the platform pumped guy,2022-06-12 18:54:50,This guy is total vibe when he was trying to kill the platform pumped guy
33,Well played bro,2022-06-12 18:54:50,Well played bro
34,Insane brow! ,2022-07-12 18:54:50,Insane brow! 
35,Ggs bro you are on top ,2022-06-12 18:54:50,Ggs bro you are on top 
36,The music and gameplay are both amazing,2022-06-12 18:54:50,The music and gameplay are both amazing
37,Narco talk about you bro … you’re freaking good ,2022-08-11 18:54:50,Narco talk about you bro … you’re freaking good 
38,9:00,2022-07-12 18:54:50,9:00
39,"Tokyo that shit was amazing, you are the ads king hands down....GG bro",2022-06-12 18:54:50,"Tokyo that shit was amazing, you are the ads king hands down....GG bro"
40,Me: blinks,2022-06-12 18:54:50,Me: blinks
41,Please keep up the good work,2022-06-12 18:54:50,Please keep up the good work
42,I think because of the music bro. ,2022-06-12 18:54:50,I think because of the music bro. 
43,Yo that's amazing bro... you got a new sub,2022-06-12 18:54:50,Yo that's amazing bro... you got a new sub
44,Seriously... How do you manage to play like that? ,2022-07-12 18:54:50,Seriously... How do you manage to play like that? 
45,bro you're amazing I've never seen you play here you have one more follower I know it's not a big deal but I won't stop giving my like,2022-07-12 18:54:50,bro you're amazing I've never seen you play here you have one more follower I know it's not a big deal but I won't stop giving my like
46,FIRE GAME BRO! Well done ,2022-07-12 18:54:50,FIRE GAME BRO! Well done 
47,That was fire....,2022-07-12 18:54:50,That was fire....
48,Yesterday i watch this match in your live ggs man you are the best,2022-06-12 18:54:50,Yesterday i watch this match in your live ggs man you are the best
49,Final fights ,2022-06-12 18:54:50,Final fights 
50,You're good. New subscriber here,2022-07-12 18:54:50,You're good. New subscriber here
51,"Yoh bro, can you do one video for you and LagYT playing duo vs squad on a private lobby?",2022-06-12 18:54:50,"Yoh bro, can you do one video for you and LagYT playing duo vs squad on a private lobby?"
52,Just found another GOD just subbed with bell and smashed that like ,2022-08-11 18:54:50,Just found another GOD just subbed with bell and smashed that like 
53,Bro Tokyo is fast asf ,2022-09-10 18:54:50,Bro Tokyo is fast asf 
54,"""help me step bro Im stuck"" xD thats why I enjoy ur streams",2022-09-10 18:54:50,"""help me step bro Im stuck"" xD thats why I enjoy ur streams"
55,Great video my bro,2022-06-12 18:54:50,Great video my bro
56,Wow!!!!! You are an amazing players!!!,2022-06-12 18:54:50,Wow!!!!! You are an amazing players!!!
57,GGs bro new sub ,2022-06-12 18:54:50,GGs bro new sub 
58,:_kral:,2022-06-12 18:54:50,:_kral:
59,Helal kanka efsane olmuş ,2022-06-12 18:54:50,Helal kanka efsane olmuş 
